typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","699","IND","India","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","137.01","false","5","u","16","false","137.01","false","0","false","813.635",,"813.635","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","780","TTO","Trinidad and Tobago","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1609.01","false","5","u","69","false","1609.01","false","0","false","3696.118",,"3696.118","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43","false","5","u","12","false","43","false","0","false","466.949",,"466.949","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","826","GBR","United Kingdom","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1769.47","false","5","u","444","false","1769.47","false","0","false","152902.123",,"152902.123","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","842","USA","USA","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15455.1","false","5","u","16486","false","15455.1","false","0","false","183901.969",,"183901.969","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","X","Export","0","W00","World","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22.54","true","-1","N/A","0","false","22.54","true","0","false",,"2034.474","2034.474","6","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","X","Export","192","CUB","Cuba","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3.6","true","-1","N/A","0","false","3.6","true","0","false",,"98.801","98.801","6","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","X","Export","308","GRD","Grenada","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","5","u","2","false","2","false","0","false",,"7.674","7.674","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","X","Export","780","TTO","Trinidad and Tobago","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","5","u","3","false","5","false","0","false",,"50","50","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","X","Export","842","USA","USA","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11.94","false","5","u","16","false","11.94","false","0","false",,"1877.999","1877.999","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","0","W00","World","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"54717273","54717273","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"49723","49723","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"66164","66164","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"102085","102085","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"10383","10383","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"410522","410522","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","156","CHN","China","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"36429094","36429094","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"265163","265163","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"103844","103844","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","246","FIN","Finland","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"65192","65192","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","251","FRA","France","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"320054","320054","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"858073","858073","6","false","true",
