API,Series,Date,Value
INTL.56-1-USA-TBPD.M,nan,1993-06-01,725.4
INTL.53-1-WORL-TBPD.M,nan,1993-07-01,66008.115
INTL.55-1-WORL-TBPD.M,nan,1993-07-01,65258.115
INTL.57-1-WORL-TBPD.M,54389.0,1993-07-01,58453.367
INTL.56-1-WORL-TBPD.M,nan,1993-07-01,1217.866
INTL.56-1-GUY-TBPD.M,nan,1993-07-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-07-01,3117.0
INTL.55-1-MEX-TBPD.M,nan,1993-07-01,3117.0
INTL.57-1-MEX-TBPD.M,453.0,1993-07-01,2649.0
INTL.56-1-MEX-TBPD.M,nan,1993-07-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-07-01,9406.915
INTL.55-1-USA-TBPD.M,nan,1993-07-01,8656.915
INTL.57-1-USA-TBPD.M,9175.935,1993-07-01,6688.367
INTL.56-1-USA-TBPD.M,nan,1993-07-01,749.581
INTL.53-1-WORL-TBPD.M,nan,1993-08-01,65785.375
INTL.55-1-WORL-TBPD.M,nan,1993-08-01,64982.375
INTL.57-1-WORL-TBPD.M,54389.0,1993-08-01,58191.807
INTL.56-1-WORL-TBPD.M,nan,1993-08-01,1271.156
INTL.56-1-GUY-TBPD.M,nan,1993-08-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-08-01,3101.0
INTL.55-1-MEX-TBPD.M,nan,1993-08-01,3101.0
INTL.57-1-MEX-TBPD.M,453.0,1993-08-01,2650.0
INTL.56-1-MEX-TBPD.M,nan,1993-08-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-08-01,9522.775
INTL.55-1-USA-TBPD.M,nan,1993-08-01,8719.775
INTL.57-1-USA-TBPD.M,9175.935,1993-08-01,6757.807
INTL.56-1-USA-TBPD.M,nan,1993-08-01,802.871
INTL.53-1-WORL-TBPD.M,nan,1993-09-01,66267.798
INTL.55-1-WORL-TBPD.M,nan,1993-09-01,65475.798
INTL.57-1-WORL-TBPD.M,54389.0,1993-09-01,58650.565
INTL.56-1-WORL-TBPD.M,nan,1993-09-01,1260.518
INTL.56-1-GUY-TBPD.M,nan,1993-09-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-09-01,3150.0
INTL.55-1-MEX-TBPD.M,nan,1993-09-01,3150.0
INTL.57-1-MEX-TBPD.M,453.0,1993-09-01,2700.0
INTL.56-1-MEX-TBPD.M,nan,1993-09-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-09-01,9443.798
INTL.55-1-USA-TBPD.M,nan,1993-09-01,8651.798
INTL.57-1-USA-TBPD.M,9175.935,1993-09-01,6711.565
INTL.56-1-USA-TBPD.M,nan,1993-09-01,792.233
INTL.53-1-WORL-TBPD.M,nan,1993-10-01,66932.833
INTL.55-1-WORL-TBPD.M,nan,1993-10-01,66195.833
INTL.57-1-WORL-TBPD.M,54389.0,1993-10-01,59241.807
INTL.56-1-WORL-TBPD.M,nan,1993-10-01,1204.995
INTL.56-1-GUY-TBPD.M,nan,1993-10-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-10-01,3200.0
INTL.55-1-MEX-TBPD.M,nan,1993-10-01,3200.0
INTL.57-1-MEX-TBPD.M,453.0,1993-10-01,2731.0
INTL.56-1-MEX-TBPD.M,nan,1993-10-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-10-01,9630.033
INTL.55-1-USA-TBPD.M,nan,1993-10-01,8893.033
INTL.57-1-USA-TBPD.M,9175.935,1993-10-01,6838.807
INTL.56-1-USA-TBPD.M,nan,1993-10-01,736.71
INTL.53-1-WORL-TBPD.M,nan,1993-11-01,67275.232
INTL.55-1-WORL-TBPD.M,nan,1993-11-01,66440.232
INTL.57-1-WORL-TBPD.M,54389.0,1993-11-01,59528.632
INTL.56-1-WORL-TBPD.M,nan,1993-11-01,1302.985
INTL.56-1-GUY-TBPD.M,nan,1993-11-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-11-01,3201.0
INTL.55-1-MEX-TBPD.M,nan,1993-11-01,3201.0
INTL.57-1-MEX-TBPD.M,453.0,1993-11-01,2730.0
INTL.56-1-MEX-TBPD.M,nan,1993-11-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-11-01,9682.232
INTL.55-1-USA-TBPD.M,nan,1993-11-01,8847.232
INTL.57-1-USA-TBPD.M,9175.935,1993-11-01,6911.632
INTL.56-1-USA-TBPD.M,nan,1993-11-01,834.7
INTL.53-1-WORL-TBPD.M,nan,1993-12-01,67014.189
INTL.55-1-WORL-TBPD.M,nan,1993-12-01,66276.189
INTL.57-1-WORL-TBPD.M,54389.0,1993-12-01,59386.583
INTL.56-1-WORL-TBPD.M,nan,1993-12-01,1205.866
INTL.56-1-GUY-TBPD.M,nan,1993-12-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1993-12-01,3227.0
INTL.55-1-MEX-TBPD.M,nan,1993-12-01,3227.0
INTL.57-1-MEX-TBPD.M,453.0,1993-12-01,2745.0
INTL.56-1-MEX-TBPD.M,nan,1993-12-01,7.689
INTL.53-1-USA-TBPD.M,nan,1993-12-01,9405.389
INTL.55-1-USA-TBPD.M,nan,1993-12-01,8667.389
INTL.57-1-USA-TBPD.M,9175.935,1993-12-01,6857.583
INTL.56-1-USA-TBPD.M,nan,1993-12-01,737.581
INTL.53-1-WORL-TBPD.M,nan,1994-01-01,68644.521
INTL.55-1-WORL-TBPD.M,nan,1994-01-01,67882.521
INTL.57-1-WORL-TBPD.M,54389.0,1994-01-01,60983.784
INTL.56-1-WORL-TBPD.M,nan,1994-01-01,1288.3
INTL.56-1-GUY-TBPD.M,nan,1994-01-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-01-01,3116.768
INTL.55-1-MEX-TBPD.M,nan,1994-01-01,3116.768
INTL.57-1-MEX-TBPD.M,453.0,1994-01-01,2724.123
INTL.56-1-MEX-TBPD.M,nan,1994-01-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-01-01,9456.779
INTL.55-1-USA-TBPD.M,nan,1994-01-01,8694.779
INTL.57-1-USA-TBPD.M,9175.935,1994-01-01,6816.779
INTL.56-1-USA-TBPD.M,nan,1994-01-01,762.0
INTL.53-1-WORL-TBPD.M,nan,1994-02-01,67904.421
INTL.55-1-WORL-TBPD.M,nan,1994-02-01,67200.421
INTL.57-1-WORL-TBPD.M,54389.0,1994-02-01,60293.444
INTL.56-1-WORL-TBPD.M,nan,1994-02-01,1230.3
INTL.56-1-GUY-TBPD.M,nan,1994-02-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-02-01,3100.085
INTL.55-1-MEX-TBPD.M,nan,1994-02-01,3100.085
INTL.57-1-MEX-TBPD.M,453.0,1994-02-01,2706.514
INTL.56-1-MEX-TBPD.M,nan,1994-02-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-02-01,9315.326
INTL.55-1-USA-TBPD.M,nan,1994-02-01,8611.326
INTL.57-1-USA-TBPD.M,9175.935,1994-02-01,6770.326
INTL.56-1-USA-TBPD.M,nan,1994-02-01,704.0
INTL.53-1-WORL-TBPD.M,nan,1994-03-01,67828.363
INTL.55-1-WORL-TBPD.M,nan,1994-03-01,67125.363
INTL.57-1-WORL-TBPD.M,54389.0,1994-03-01,60176.54
INTL.56-1-WORL-TBPD.M,nan,1994-03-01,1229.3
INTL.56-1-GUY-TBPD.M,nan,1994-03-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-03-01,3081.208
INTL.55-1-MEX-TBPD.M,nan,1994-03-01,3081.208
INTL.57-1-MEX-TBPD.M,453.0,1994-03-01,2686.789
INTL.56-1-MEX-TBPD.M,nan,1994-03-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-03-01,9377.622
INTL.55-1-USA-TBPD.M,nan,1994-03-01,8674.622
INTL.57-1-USA-TBPD.M,9175.935,1994-03-01,6745.622
INTL.56-1-USA-TBPD.M,nan,1994-03-01,703.0
INTL.53-1-WORL-TBPD.M,nan,1994-04-01,67568.068
INTL.55-1-WORL-TBPD.M,nan,1994-04-01,66790.068
INTL.57-1-WORL-TBPD.M,54389.0,1994-04-01,59953.023
INTL.56-1-WORL-TBPD.M,nan,1994-04-01,1304.3
INTL.56-1-GUY-TBPD.M,nan,1994-04-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-04-01,3094.038
INTL.55-1-MEX-TBPD.M,nan,1994-04-01,3094.038
INTL.57-1-MEX-TBPD.M,453.0,1994-04-01,2698.805
INTL.56-1-MEX-TBPD.M,nan,1994-04-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-04-01,9302.102
INTL.55-1-USA-TBPD.M,nan,1994-04-01,8524.102
INTL.57-1-USA-TBPD.M,9175.935,1994-04-01,6612.102
INTL.56-1-USA-TBPD.M,nan,1994-04-01,778.0
INTL.53-1-WORL-TBPD.M,nan,1994-05-01,67739.478
INTL.55-1-WORL-TBPD.M,nan,1994-05-01,67015.478
INTL.57-1-WORL-TBPD.M,54389.0,1994-05-01,60124.032
INTL.56-1-WORL-TBPD.M,nan,1994-05-01,1250.3
INTL.56-1-GUY-TBPD.M,nan,1994-05-01,0.0
INTL.53-1-MEX-TBPD.M,nan,1994-05-01,3084.808
INTL.55-1-MEX-TBPD.M,nan,1994-05-01,3084.808
INTL.57-1-MEX-TBPD.M,453.0,1994-05-01,2688.389
INTL.56-1-MEX-TBPD.M,nan,1994-05-01,13.0
INTL.53-1-USA-TBPD.M,nan,1994-05-01,9338.193
INTL.55-1-USA-TBPD.M,nan,1994-05-01,8614.193
